Title,Description,URL,Start Date,End Date
Digital India,Transform India into a digitally empowered society and knowledge economy.,https://www.digitalindia.gov.in/,2015-07-01,Ongoing
DigiLocker,Cloud-based platform for digital documents.,https://www.digilocker.gov.in/,2015-07-01,Ongoing
e-Hospital,Online registration and appointment for hospitals.,https://ors.gov.in/,2015-06-01,Ongoing
UMANG App,Unified Mobile Application for New-age Governance.,https://web.umang.gov.in/,2017-11-23,Ongoing
BharatNet,Broadband connectivity to rural India.,http://bbnl.nic.in/,2011-10-25,Ongoing
PMGDisha,Digital literacy for rural citizens.,https://www.pmgdisha.in/,2017-02-07,Ongoing
MyGov,Citizen engagement platform.,https://www.mygov.in/,2014-07-26,Ongoing
e-SHRAM,National database for unorganized workers.,https://eshram.gov.in/,2021-08-26,Ongoing
GeM,eMarketplace for public procurement.,https://gem.gov.in/,2016-08-09,Ongoing
BHIM App,UPI-based payment application.,https://www.bhimupi.org.in/,2016-12-30,Ongoing
National Scholarship Portal,Online platform for scholarships.,https://scholarships.gov.in/,2015-07-01,Ongoing
e-NAM,Online agricultural market platform.,https://www.enam.gov.in/,2016-04-14,Ongoing
mPariksha,Mobile app for exams and results.,https://www.mpariksha.gov.in/,2017-01-01,Ongoing
ePathshala,Digital resources for education.,https://epathshala.nic.in/,2015-11-07,Ongoing
RAISE,AI for social empowerment summit.,https://www.raise2020.indiaai.gov.in/,2020-10-05,2020-10-09
SWAYAM,Online education platform.,https://swayam.gov.in/,2017-07-09,Ongoing
National Digital Library,Repository of digital learning resources.,https://ndl.iitkgp.ac.in/,2018-06-19,Ongoing
Poshan Tracker,Monitor nutritional services and Anganwadi data.,https://poshantracker.in/,2021-03-01,Ongoing
CoWIN,Platform for COVID-19 vaccination registration.,https://www.cowin.gov.in/,2021-01-16,Ongoing
Aarogya Setu,COVID-19 contact tracing app.,https://www.aarogyasetu.gov.in/,2020-04-02,Ongoing
